"","logFC","logCPM","F","PValue","FDR","Expression"
"XRCC5",-0.0346304249964879,7.85410301762308,0.0451682751461059,0.833875599033237,0.927823868489551,"Not DE"
"STXBP1",-0.0288125270072553,6.46237522714567,0.0451613141347723,0.833888199543844,0.927823868489551,"Not DE"
"HSPA4",-0.0264616754432101,7.48798037914971,0.0451516624835848,0.833905672212939,0.927823868489551,"Not DE"
"ZFAND2A",0.0429371641824156,3.80390629621842,0.0451337259181003,0.833938148502574,0.927823868489551,"Not DE"
"DCLRE1B",-0.0410074184177624,2.91307579150845,0.0451015215981923,0.833996475227443,0.927823868489551,"Not DE"
"NEXN",-0.0580402330633249,6.79412240014183,0.045097189894446,0.834004322239086,0.927823868489551,"Not DE"
"DCAF4",0.0276689028991121,4.4886600549072,0.0450640168097808,0.834064429369202,0.927823868489551,"Not DE"
"AC005840",0.147807816805711,1.63702882783897,0.0449795546322557,0.834217573141841,0.927924547869292,"Not DE"
"SP2-AS1",-0.081413013539094,0.234059687860369,0.0448874964817315,0.834384661243389,0.928017330250194,"Not DE"
"ALOX12-AS1",0.0528819163466723,1.90259201438764,0.0448324527395454,0.834484652878966,0.928017330250194,"Not DE"
